City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Sabha,LY,2020-02-24 07:44:23,27.04,14.43,55.17,48,0,5.19,clear sky,0,0
1,Port Blair,IN,2020-02-24 07:44:23,11.67,92.75,82.02,72,0,13.56,clear sky,0,0
2,Porto Novo,BJ,2020-02-24 07:44:23,6.5,2.6,84.2,89,40,2.24,scattered clouds,0,0
3,Ayagoz,KZ,2020-02-24 07:44:23,47.97,80.44,22.23,91,100,2.84,light snow,0,0.13
4,Camacha,PT,2020-02-24 07:44:23,33.08,-16.33,64.4,82,20,16.11,few clouds,0,0
5,Busselton,AU,2020-02-24 07:44:24,-33.65,115.33,73.99,73,100,1.01,overcast clouds,0,0
6,Jamestown,US,2020-02-24 07:44:24,42.1,-79.24,44.6,44,1,12.75,clear sky,0,0
7,Yellowknife,CA,2020-02-24 07:44:24,62.46,-114.35,-14.01,75,5,6.93,clear sky,0,0
8,Hilo,US,2020-02-24 07:40:50,19.73,-155.09,71.6,78,20,3.36,few clouds,0,0
9,Hobart,AU,2020-02-24 07:44:24,-42.88,147.33,69.8,60,75,13.87,broken clouds,0,0
10,Cidreira,BR,2020-02-24 07:44:25,-30.18,-50.21,71.98,74,0,21.05,clear sky,0,0
11,Albany,US,2020-02-24 07:44:25,42.6,-73.97,32.0,58,1,8.05,clear sky,0,0
12,Beringovskiy,RU,2020-02-24 07:44:25,63.05,179.32,-6.27,97,100,10.2,overcast clouds,0,0
13,Upernavik,GL,2020-02-24 07:44:25,72.79,-56.15,-21.71,85,31,1.77,scattered clouds,0,0
14,Chokurdakh,RU,2020-02-24 07:44:25,70.63,147.92,-24.5,98,31,4.12,scattered clouds,0,0
15,Tuktoyaktuk,CA,2020-02-24 07:44:26,69.45,-133.04,-7.31,96,100,8.77,overcast clouds,0,0
16,Faanui,PF,2020-02-24 07:44:26,-16.48,-151.75,82.47,76,12,13.13,few clouds,0,0
17,Hermanus,ZA,2020-02-24 07:44:26,-34.42,19.23,70.0,62,0,13.0,clear sky,0,0
18,Surman,LY,2020-02-24 07:44:27,32.76,12.57,57.99,72,0,13.96,clear sky,0,0
19,Bethel,US,2020-02-24 07:43:48,41.37,-73.41,43.0,68,5,3.47,clear sky,0,0
20,Saskylakh,RU,2020-02-24 07:44:27,71.92,114.08,15.13,93,100,9.44,light snow,0,0.19
21,Bilma,NE,2020-02-24 07:44:27,18.69,12.92,63.23,29,0,9.84,clear sky,0,0
22,Punta Arenas,CL,2020-02-24 07:44:28,-53.15,-70.92,46.4,65,40,27.51,scattered clouds,0,0
23,Sri Aman,MY,2020-02-24 07:44:28,1.24,111.46,82.4,88,75,4.47,light intensity shower rain,0,0
24,Wahiawa,US,2020-02-24 07:44:28,21.5,-158.02,75.2,88,40,5.82,scattered clouds,0,0
25,Mataura,NZ,2020-02-24 07:44:28,-46.19,168.86,63.0,63,100,3.0,overcast clouds,0,0
26,Buritizeiro,BR,2020-02-24 07:44:28,-17.35,-44.96,68.47,97,100,2.8,overcast clouds,0,0
27,Cayenne,GF,2020-02-24 07:44:29,4.93,-52.33,78.8,88,75,9.17,broken clouds,0,0
28,Tiksi,RU,2020-02-24 07:41:58,71.69,128.87,-2.61,87,100,9.69,overcast clouds,0,0
29,Leningradskiy,RU,2020-02-24 07:44:29,69.38,178.42,-18.78,70,0,2.08,clear sky,0,0
30,Arraial Do Cabo,BR,2020-02-24 07:44:29,-22.97,-42.03,73.54,73,83,5.82,broken clouds,0,0
31,Port Hardy,CA,2020-02-24 07:44:29,50.7,-127.42,35.6,92,75,9.17,broken clouds,0,0
32,Nouadhibou,MR,2020-02-24 07:44:30,20.93,-17.03,73.4,60,99,19.46,light rain,0.5,0
33,Port Hawkesbury,CA,2020-02-24 07:44:30,45.62,-61.35,32.0,100,75,5.82,mist,0,0
34,Vaini,TO,2020-02-24 07:44:30,-21.2,-175.2,78.8,94,20,3.36,few clouds,0,0
35,Cape Town,ZA,2020-02-24 07:44:30,-33.93,18.42,75.99,49,0,11.41,clear sky,0,0
36,Thompson,CA,2020-02-24 07:42:28,55.74,-97.86,5.0,84,90,9.17,light snow,0,0
37,Rikitea,PF,2020-02-24 07:44:31,-23.12,-134.97,79.21,72,0,7.92,light rain,0.44,0
38,Palu,ID,2020-02-24 07:44:31,-0.89,119.87,78.24,73,69,3.83,light rain,1.5,0
39,Norman Wells,CA,2020-02-24 07:44:31,65.28,-126.83,-0.4,84,75,5.82,light snow,0,0
40,Tabou,CI,2020-02-24 07:44:31,4.42,-7.35,84.22,80,94,3.98,light rain,0.13,0
41,Katsuura,JP,2020-02-24 07:44:31,35.13,140.3,59.0,47,20,12.75,few clouds,0,0
42,Atuona,PF,2020-02-24 07:44:32,-9.8,-139.03,80.94,81,15,13.94,few clouds,0,0
43,Severo-Kurilsk,RU,2020-02-24 07:44:32,50.68,156.12,25.97,96,100,27.58,snow,0,2.38
44,Tura,IN,2020-02-24 07:44:32,25.52,90.22,88.84,25,0,2.77,clear sky,0,0
45,Bayangol,RU,2020-02-24 07:44:32,50.7,103.47,19.18,65,100,2.57,overcast clouds,0,0
46,Ushuaia,AR,2020-02-24 07:44:33,-54.8,-68.3,42.8,70,75,19.46,light intensity drizzle,0,0
47,Buala,SB,2020-02-24 07:44:33,-8.14,159.59,82.02,79,18,2.75,light rain,0.44,0
48,Butaritari,KI,2020-02-24 07:44:33,3.07,172.79,83.95,81,100,27.69,heavy intensity rain,12.19,0
49,Kaeo,NZ,2020-02-24 07:44:33,-35.1,173.78,66.0,79,0,12.59,clear sky,0,0
50,Koforidua,GH,2020-02-24 07:44:33,6.09,-0.26,87.03,62,42,3.15,scattered clouds,0,0
51,Boralday,KZ,2020-02-24 07:44:34,43.36,76.86,42.8,70,75,6.71,broken clouds,0,0
52,Waingapu,ID,2020-02-24 07:44:34,-9.66,120.26,85.5,73,0,11.36,clear sky,0,0
53,Illela,NG,2020-02-24 07:44:34,13.73,5.3,78.89,12,14,25.43,few clouds,0,0
54,Cherskiy,RU,2020-02-24 07:44:34,68.75,161.3,-26.64,89,15,3.69,few clouds,0,0
55,Coahuayana,MX,2020-02-24 07:44:34,18.73,-103.68,71.38,65,0,2.77,clear sky,0,0
56,Bambous Virieux,MU,2020-02-24 07:44:35,-20.34,57.76,86.0,66,40,5.82,scattered clouds,0,0
57,Port Elizabeth,ZA,2020-02-24 07:44:35,-33.92,25.57,68.0,56,0,4.7,clear sky,0,0
58,Dikson,RU,2020-02-24 07:44:35,73.51,80.55,24.71,89,100,27.04,light snow,0,0.13
59,San Patricio,MX,2020-02-24 07:43:41,19.22,-104.7,75.31,80,0,5.66,clear sky,0,0
60,Ossora,RU,2020-02-24 07:44:36,59.24,163.07,8.22,95,100,4.9,light snow,0,0.19
61,Crixas,BR,2020-02-24 07:44:36,-14.55,-49.97,71.62,93,100,1.57,light rain,1.13,0
62,Provideniya,RU,2020-02-24 07:44:36,64.38,-173.3,-1.73,66,92,4.14,overcast clouds,0,0
63,Boden,SE,2020-02-24 07:44:36,65.83,21.69,33.8,59,100,24.16,overcast clouds,0,0
64,Kavieng,PG,2020-02-24 07:44:37,-2.57,150.8,85.19,69,41,6.78,scattered clouds,0,0
65,Tyulyachi,RU,2020-02-24 07:44:37,55.89,50.24,32.0,93,75,8.95,broken clouds,0,0
66,Innisfail,AU,2020-02-24 07:39:57,-17.53,146.03,73.99,92,100,3.0,light rain,2.44,0
67,Mar Del Plata,AR,2020-02-24 07:44:37,-38.0,-57.56,64.0,93,20,9.17,few clouds,0,0
68,Barrow,US,2020-02-24 07:44:38,71.29,-156.79,-20.2,75,40,11.41,scattered clouds,0,0
69,Tasiilaq,GL,2020-02-24 07:44:38,65.61,-37.64,8.6,60,93,1.12,overcast clouds,0,0
70,Vestmannaeyjar,IS,2020-02-24 07:44:38,63.44,-20.27,35.6,68,40,20.8,scattered clouds,0,0
71,Jalu,LY,2020-02-24 07:44:39,29.03,21.55,58.41,53,68,11.54,broken clouds,0,0
72,Hobyo,SO,2020-02-24 07:44:39,5.35,48.53,88.77,48,100,22.59,overcast clouds,0,0
73,Merrill,US,2020-02-24 07:44:39,45.18,-89.68,30.2,85,1,3.36,clear sky,0,0
74,Tautira,PF,2020-02-24 07:44:39,-17.73,-149.15,78.8,83,40,3.36,scattered clouds,0,0
75,Vadso,NO,2020-02-24 07:44:40,70.07,29.75,35.6,80,75,13.87,broken clouds,0,0
76,Aleksandrovsk-Sakhalinskiy,RU,2020-02-24 07:44:40,50.9,142.16,1.54,95,51,2.01,broken clouds,0,0
77,Komsomolskiy,UZ,2020-02-24 07:44:40,40.43,71.72,53.6,71,75,3.49,mist,0,0
78,Nanortalik,GL,2020-02-24 07:44:40,60.14,-45.24,25.95,72,100,16.4,snow,0,4.75
79,Ivanjica,RS,2020-02-24 07:44:41,43.58,20.23,48.2,93,100,8.05,light rain,0.44,0
80,Chapais,CA,2020-02-24 07:44:41,49.78,-74.85,26.6,86,90,10.29,light snow,0,0
81,Fortuna,US,2020-02-24 07:44:38,40.6,-124.16,44.6,93,1,2.77,clear sky,0,0
82,Kahului,US,2020-02-24 07:40:35,20.89,-156.47,73.4,78,20,8.05,few clouds,0,0
