City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Busselton,AU,73.99,overcast clouds,-33.65,115.33,Observatory Guest House
8,Hilo,US,71.6,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
10,Cidreira,BR,71.98,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
17,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
24,Wahiawa,US,75.2,scattered clouds,21.5,-158.02,Aloha Wahiawa
27,Cayenne,GF,78.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
30,Arraial Do Cabo,BR,73.54,broken clouds,-22.97,-42.03,Pousada Porto Praia
32,Nouadhibou,MR,73.4,light rain,20.93,-17.03,El Medina
34,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
35,Cape Town,ZA,75.99,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
37,Rikitea,PF,79.21,light rain,-23.12,-134.97,Pension Maro'i
38,Palu,ID,78.24,light rain,-0.89,119.87,Hotel Santika Palu
53,Illela,NG,78.89,few clouds,13.73,5.3,
55,Coahuayana,MX,71.38,clear sky,18.73,-103.68,Hotel Los Arcos
59,San Patricio,MX,75.31,clear sky,19.22,-104.7,Hotel Cabo Blanco
61,Crixas,BR,71.62,light rain,-14.55,-49.97,RISO HOTEL
66,Innisfail,AU,73.99,light rain,-17.53,146.03,Moondarra Motel
74,Tautira,PF,78.8,scattered clouds,-17.73,-149.15,Pension Oaoa
82,Kahului,US,73.4,few clouds,20.89,-156.47,Maui Seaside Hotel
84,Bredasdorp,ZA,70.0,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
91,Isangel,VU,77.36,light rain,-19.55,169.27,Volcano Sea View Tree House
92,Vryburg,ZA,76.51,overcast clouds,-26.96,24.73,Times Premier Lodge
94,Ilhabela,BR,74.84,overcast clouds,-23.78,-45.36,Ilha Flat Hotel
104,Santo Antonio Do Ica,BR,73.22,light rain,-3.1,-67.94,Hotel Fogaça
105,Sinnamary,GF,78.48,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
107,Kapaa,US,73.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
111,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
122,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
124,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
145,Victoria,HK,77.0,few clouds,22.29,114.16,Mini Hotel Central
149,Manokwari,ID,75.63,light rain,-0.87,134.08,Swiss Belhotel Manokwari
154,Mana,GF,74.59,light rain,5.66,-53.78,LE SAMANA
159,Vao,NC,78.98,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
164,Puerto Colombia,CO,77.0,few clouds,10.99,-74.95,Hotel El Emigrante
165,Acapulco,MX,78.8,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
169,Los Llanos De Aridane,ES,71.6,haze,28.66,-17.92,Valle Aridane
